flight_date,flight_number,from_full,to_full,from_airport,to_airport,aircraft,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay,arrival_delay,scheduled_hour,day_of_week,next_flight_dep,next_flight_delay,turnaround_mins,cascade_score
2025-07-24, ,Mumbai (BOM),Ahmedabad (AMD),BOM,AMD,B38M (VT-YAR),2025-07-24 08:40:00,2025-07-24 09:02:00,2025-07-24 10:00:00,2025-07-24 10:00:00,22.0,0.0,8,Thursday,,,,0.0
2025-07-20, ,Mumbai (BOM),Lucknow (LKO),BOM,LKO,B38M (VT-YAS),2025-07-20 07:50:00,2025-07-20 08:17:00,2025-07-20 10:00:00,2025-07-20 10:06:00,27.0,6.0,7,Sunday,,,,0.0
2025-07-19, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B38M (VT-YAT),2025-07-19 07:05:00,2025-07-19 07:23:00,2025-07-19 09:20:00,2025-07-19 09:04:00,18.0,-16.0,7,Saturday,,,,0.0
2025-07-20, ,Mumbai (BOM),Ahmedabad (AMD),BOM,AMD,B38M (VT-YAX),2025-07-20 08:40:00,2025-07-20 10:55:00,2025-07-20 10:00:00,2025-07-20 11:48:00,135.0,108.0,8,Sunday,,,,0.0
2025-07-24, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B38M (VT-YBA),2025-07-24 07:05:00,2025-07-24 08:35:00,2025-07-24 09:20:00,2025-07-24 10:20:00,90.0,60.0,7,Thursday,,,,0.0
2025-07-21, ,Mumbai (BOM),Ahmedabad (AMD),BOM,AMD,B38M (VT-YBC),2025-07-21 08:40:00,2025-07-21 10:38:00,2025-07-21 10:00:00,2025-07-21 11:35:00,118.0,95.0,8,Monday,2025-07-23 09:07:00,27.0,2732.0,0.0
2025-07-23, ,Mumbai (BOM),Ahmedabad (AMD),BOM,AMD,B38M (VT-YBC),2025-07-23 08:40:00,2025-07-23 09:07:00,2025-07-23 10:00:00,2025-07-23 10:05:00,27.0,5.0,8,Wednesday,,,,0.0
2025-07-22, ,Mumbai (BOM),Srinagar (SXR),BOM,SXR,B38M (VT-YBE),2025-07-22 06:05:00,2025-07-22 06:18:00,2025-07-22 08:45:00,2025-07-22 08:37:00,13.0,-8.0,6,Tuesday,,,,0.0
2025-07-25, ,Mumbai (BOM),Lucknow (LKO),BOM,LKO,B38M (VT-YBF),2025-07-25 07:45:00,2025-07-25 08:11:00,2025-07-25 10:00:00,2025-07-25 09:59:00,26.0,-1.0,7,Friday,,,,0.0
2025-07-19, ,Mumbai (BOM),Muscat (MCT),BOM,MCT,B738 (A4O-BAC),2025-07-19 10:05:00,2025-07-19 10:25:00,2025-07-19 11:15:00,2025-07-19 11:02:00,20.0,-13.0,10,Saturday,,,,0.0
2025-07-22, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B738 (VT-AAZ),2025-07-22 06:15:00,2025-07-22 06:11:00,2025-07-22 08:25:00,2025-07-22 07:49:00,-4.0,-36.0,6,Tuesday,2025-07-23 06:37:00,22.0,1368.0,0.0
2025-07-23, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B738 (VT-AAZ),2025-07-23 06:15:00,2025-07-23 06:37:00,2025-07-23 08:25:00,2025-07-23 08:26:00,22.0,1.0,6,Wednesday,2025-07-24 06:22:00,7.0,1316.0,0.0
2025-07-24, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B738 (VT-AAZ),2025-07-24 06:15:00,2025-07-24 06:22:00,2025-07-24 08:25:00,2025-07-24 08:08:00,7.0,-17.0,6,Thursday,2025-07-25 06:27:00,12.0,1339.0,0.0
2025-07-25, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B738 (VT-AAZ),2025-07-25 06:15:00,2025-07-25 06:27:00,2025-07-25 08:25:00,2025-07-25 08:09:00,12.0,-16.0,6,Friday,,,,0.0
2025-07-19, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B738 (VT-BAZ),2025-07-19 06:15:00,2025-07-19 06:18:00,2025-07-19 08:25:00,2025-07-19 07:57:00,3.0,-28.0,6,Saturday,2025-07-20 05:59:00,-16.0,1322.0,0.0
2025-07-20, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B738 (VT-BAZ),2025-07-20 06:15:00,2025-07-20 05:59:00,2025-07-20 08:25:00,2025-07-20 07:39:00,-16.0,-46.0,6,Sunday,2025-07-21 06:13:00,-2.0,1354.0,0.0
2025-07-21, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B738 (VT-BAZ),2025-07-21 06:15:00,2025-07-21 06:13:00,2025-07-21 08:25:00,2025-07-21 07:52:00,-2.0,-33.0,6,Monday,,,,0.0
2025-07-19, ,Mumbai (BOM),Darbhanga (DBR),BOM,DBR,B738 (VT-SLF),2025-07-19 06:50:00,2025-07-19 10:13:00,2025-07-19 09:15:00,2025-07-19 12:25:00,203.0,190.0,6,Saturday,2025-07-20 07:13:00,23.0,1128.0,0.0
2025-07-20, ,Mumbai (BOM),Darbhanga (DBR),BOM,DBR,B738 (VT-SLF),2025-07-20 06:50:00,2025-07-20 07:13:00,2025-07-20 09:15:00,2025-07-20 09:26:00,23.0,11.0,6,Sunday,2025-07-24 07:06:00,16.0,5620.0,0.0
2025-07-24, ,Mumbai (BOM),Darbhanga (DBR),BOM,DBR,B738 (VT-SLF),2025-07-24 06:50:00,2025-07-24 07:06:00,2025-07-24 09:15:00,2025-07-24 09:19:00,16.0,4.0,6,Thursday,,,,0.0
2025-07-21, ,Mumbai (BOM),Darbhanga (DBR),BOM,DBR,B738 (VT-SLG),2025-07-21 06:50:00,2025-07-21 07:00:00,2025-07-21 09:15:00,2025-07-21 09:15:00,10.0,0.0,6,Monday,2025-07-22 07:04:00,14.0,1309.0,0.0
2025-07-22, ,Mumbai (BOM),Darbhanga (DBR),BOM,DBR,B738 (VT-SLG),2025-07-22 06:50:00,2025-07-22 07:04:00,2025-07-22 09:15:00,2025-07-22 09:25:00,14.0,10.0,6,Tuesday,,,,0.0
2025-07-20, ,Mumbai (BOM),Muscat (MCT),BOM,MCT,B739 (A4O-BT),2025-07-20 10:05:00,2025-07-20 13:19:00,2025-07-20 11:15:00,2025-07-20 13:53:00,194.0,158.0,10,Sunday,2025-07-21 12:17:00,132.0,1344.0,0.0
2025-07-21, ,Mumbai (BOM),Muscat (MCT),BOM,MCT,B739 (A4O-BT),2025-07-21 10:05:00,2025-07-21 12:17:00,2025-07-21 11:15:00,2025-07-21 12:51:00,132.0,96.0,10,Monday,2025-07-24 10:21:00,16.0,4170.0,0.0
2025-07-24, ,Mumbai (BOM),Muscat (MCT),BOM,MCT,B739 (A4O-BT),2025-07-24 10:05:00,2025-07-24 10:21:00,2025-07-24 11:15:00,2025-07-24 10:55:00,16.0,-20.0,10,Thursday,,,,0.0
2025-07-23, ,Mumbai (BOM),Muscat (MCT),BOM,MCT,B739 (A4O-BY),2025-07-23 10:05:00,2025-07-23 12:40:00,2025-07-23 11:15:00,2025-07-23 13:16:00,155.0,121.0,10,Wednesday,,,,0.0
2025-07-25, ,Mumbai (BOM),Darbhanga (DBR),BOM,DBR,B739 (VT-SLC),2025-07-25 06:50:00,2025-07-25 09:56:00,2025-07-25 09:15:00,2025-07-25 12:32:00,186.0,197.0,6,Friday,,,,0.0
2025-07-20, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B788 (VT-ANH),2025-07-20 06:40:00,2025-07-20 07:48:00,2025-07-20 08:45:00,2025-07-20 09:26:00,68.0,41.0,6,Sunday,,,,0.0
